Equation, ROP_H2
CH3+H2O2<=>HO2+CH4, 0.000000e+00
2CH3(+M)<=>C2H6(+M), 0.000000e+00
2CH3<=>H+C2H5, 0.000000e+00
CH3+HCO<=>CH4+CO, 0.000000e+00
CH3+CH2O<=>HCO+CH4, 0.000000e+00
CH3+CH3OH<=>CH2OH+CH4, 0.000000e+00
CH3+CH3OH<=>CH3O+CH4, 0.000000e+00
CH3+C2H4<=>C2H3+CH4, 0.000000e+00
CH3+C2H6<=>C2H5+CH4, 0.000000e+00
HCO+H2O<=>H+CO+H2O, 0.000000e+00
HCO+M<=>H+CO+M, 0.000000e+00
HCO+O2<=>HO2+CO, 0.000000e+00
CH2OH+O2<=>HO2+CH2O, 0.000000e+00
CH3O+O2<=>HO2+CH2O, 0.000000e+00
C2H+O2<=>HCO+CO, 0.000000e+00
C2H+H2<=>H+C2H2, -1.414170e-08
C2H3+O2<=>HCO+CH2O, 0.000000e+00
C2H4(+M)<=>H2+C2H2(+M), 3.081153e-10
C2H5+O2<=>HO2+C2H4, 0.000000e+00
HCCO+O2<=>OH+2CO, 0.000000e+00
2HCCO<=>2CO+C2H2, 0.000000e+00
N+NO<=>N2+O, 0.000000e+00
N+O2<=>NO+O, 0.000000e+00
N+OH<=>NO+H, 0.000000e+00
N2O+O<=>N2+O2, 0.000000e+00
N2O+O<=>2NO, 0.000000e+00
N2O+H<=>N2+OH, 0.000000e+00
N2O+OH<=>N2+HO2, 0.000000e+00
N2O(+M)<=>N2+O(+M), 0.000000e+00
HO2+NO<=>NO2+OH, 0.000000e+00
NO+O+M<=>NO2+M, 0.000000e+00
NO2+O<=>NO+O2, 0.000000e+00
NO2+H<=>NO+OH, 0.000000e+00
NH+O<=>NO+H, 0.000000e+00
NH+H<=>N+H2, 6.525210e-09
NH+OH<=>HNO+H, 0.000000e+00
NH+OH<=>N+H2O, 0.000000e+00
NH+O2<=>HNO+O, 0.000000e+00
NH+O2<=>NO+OH, 0.000000e+00
NH+N<=>N2+H, 0.000000e+00
NH+H2O<=>HNO+H2, 2.712365e-09
NH+NO<=>N2+OH, 0.000000e+00
NH+NO<=>N2O+H, 0.000000e+00
NH2+O<=>OH+NH, 0.000000e+00
NH2+O<=>H+HNO, 0.000000e+00
NH2+H<=>NH+H2, 4.992529e-09
NH2+OH<=>NH+H2O, 0.000000e+00
NNH<=>N2+H, 0.000000e+00
NNH+M<=>N2+H+M, 0.000000e+00
NNH+O2<=>HO2+N2, 0.000000e+00
NNH+O<=>OH+N2, 0.000000e+00
NNH+O<=>NH+NO, 0.000000e+00
NNH+H<=>H2+N2, 6.415716e-10
NNH+OH<=>H2O+N2, 0.000000e+00
NNH+CH3<=>CH4+N2, 0.000000e+00
H+NO+M<=>HNO+M, 0.000000e+00
HNO+O<=>NO+OH, 0.000000e+00
HNO+H<=>H2+NO, 1.720858e-08
HNO+OH<=>NO+H2O, 0.000000e+00
HNO+O2<=>HO2+NO, 0.000000e+00
CN+O<=>CO+N, 0.000000e+00
CN+OH<=>NCO+H, 0.000000e+00
CN+H2O<=>HCN+OH, 0.000000e+00
CN+O2<=>NCO+O, 0.000000e+00
CN+H2<=>HCN+H, 1.673369e-10
NCO+O<=>NO+CO, 0.000000e+00
NCO+H<=>NH+CO, 0.000000e+00
NCO+OH<=>NO+H+CO, 0.000000e+00
NCO+N<=>N2+CO, 0.000000e+00
NCO+O2<=>NO+CO2, 0.000000e+00
NCO+M<=>N+CO+M, 0.000000e+00
NCO+NO<=>N2O+CO, 0.000000e+00
NCO+NO<=>N2+CO2, 0.000000e+00
HCN+M<=>H+CN+M, 0.000000e+00
HCN+O<=>NCO+H, 0.000000e+00
HCN+O<=>NH+CO, 0.000000e+00
HCN+O<=>CN+OH, 0.000000e+00
HCN+OH<=>HOCN+H, 0.000000e+00
HCN+OH<=>HNCO+H, 0.000000e+00
HCN+OH<=>NH2+CO, 0.000000e+00
H+HCN(+M)<=>H2CN(+M), 0.000000e+00
H2CN+N<=>N2+CH2, 0.000000e+00
C+N2<=>CN+N, 0.000000e+00
CH+N2<=>HCN+N, 0.000000e+00
CH+N2(+M)<=>HCNN(+M), 0.000000e+00
CH2+N2<=>HCN+NH, 0.000000e+00
CH2(S)+N2<=>NH+HCN, 0.000000e+00
C+NO<=>CN+O, 0.000000e+00
C+NO<=>CO+N, 0.000000e+00
CH+NO<=>HCN+O, 0.000000e+00
CH+NO<=>H+NCO, 0.000000e+00
CH+NO<=>N+HCO, 0.000000e+00
CH2+NO<=>H+HNCO, 0.000000e+00
CH2+NO<=>OH+HCN, 0.000000e+00
CH2+NO<=>H+HCNO, 0.000000e+00
CH2(S)+NO<=>H+HNCO, 0.000000e+00
CH2(S)+NO<=>OH+HCN, 0.000000e+00
CH2(S)+NO<=>H+HCNO, 0.000000e+00
CH3+NO<=>HCN+H2O, 0.000000e+00
CH3+NO<=>H2CN+OH, 0.000000e+00
HCNN+O<=>CO+H+N2, 0.000000e+00
HCNN+O<=>HCN+NO, 0.000000e+00
HCNN+O2<=>O+HCO+N2, 0.000000e+00
HCNN+OH<=>H+HCO+N2, 0.000000e+00
HCNN+H<=>CH2+N2, 0.000000e+00
HNCO+O<=>NH+CO2, 0.000000e+00
HNCO+O<=>HNO+CO, 0.000000e+00
HNCO+O<=>NCO+OH, 0.000000e+00
HNCO+H<=>NH2+CO, 0.000000e+00
HNCO+H<=>H2+NCO, -1.061254e-09
HNCO+OH<=>NCO+H2O, 0.000000e+00
HNCO+OH<=>NH2+CO2, 0.000000e+00
HNCO+M<=>NH+CO+M, 0.000000e+00
HCNO+H<=>H+HNCO, 0.000000e+00
HCNO+H<=>OH+HCN, 0.000000e+00
HCNO+H<=>NH2+CO, 0.000000e+00
HOCN+H<=>H+HNCO, 0.000000e+00
HCCO+NO<=>HCNO+CO, 0.000000e+00
CH3+N<=>H2CN+H, 0.000000e+00
CH3+N<=>HCN+H2, 8.908020e-10
NH3+H<=>NH2+H2, -3.928344e-09
NH3+OH<=>NH2+H2O, 0.000000e+00
NH3+O<=>NH2+OH, 0.000000e+00
NH+CO2<=>HNO+CO, 0.000000e+00
CN+NO2<=>NCO+NO, 0.000000e+00
NCO+NO2<=>N2O+CO2, 0.000000e+00
N+CO2<=>NO+CO, 0.000000e+00
O+CH3=>H+H2+CO, 2.508609e-04
O+C2H4<=>H+CH2CHO, 0.000000e+00
O+C2H5<=>H+CH3CHO, 0.000000e+00
OH+HO2<=>O2+H2O, 0.000000e+00
OH+CH3=>H2+CH2O, 1.138520e-05
CH+H2(+M)<=>CH3(+M), -3.146454e-08
CH2+O2=>2H+CO2, 0.000000e+00
CH2+O2<=>O+CH2O, 0.000000e+00
CH2+CH2=>2H+C2H2, 0.000000e+00
CH2(S)+H2O=>H2+CH2O, 1.584399e-06
C2H3+O2<=>O+CH2CHO, 0.000000e+00
C2H3+O2<=>HO2+C2H2, 0.000000e+00
O+CH3CHO<=>OH+CH2CHO, 0.000000e+00
O+CH3CHO=>OH+CH3+CO, 0.000000e+00
O2+CH3CHO=>HO2+CH3+CO, 0.000000e+00
H+CH3CHO<=>CH2CHO+H2, 3.769198e-06
H+CH3CHO=>CH3+H2+CO, 3.813329e-06
OH+CH3CHO=>CH3+H2O+CO, 0.000000e+00
HO2+CH3CHO=>CH3+H2O2+CO, 0.000000e+00
CH3+CH3CHO=>CH3+CH4+CO, 0.000000e+00
H+CH2CO(+M)<=>CH2CHO(+M), 0.000000e+00
O+CH2CHO=>H+CH2+CO2, 0.000000e+00
O2+CH2CHO=>OH+CO+CH2O, 0.000000e+00
O2+CH2CHO=>OH+2HCO, 0.000000e+00
H+CH2CHO<=>CH3+HCO, 0.000000e+00
H+CH2CHO<=>CH2CO+H2, 6.234303e-07
OH+CH2CHO<=>H2O+CH2CO, 0.000000e+00
OH+CH2CHO<=>HCO+CH2OH, 0.000000e+00
CH3+C2H5(+M)<=>C3H8(+M), 0.000000e+00
O+C3H8<=>OH+C3H7, 0.000000e+00
H+C3H8<=>C3H7+H2, 3.942353e-06
OH+C3H8<=>C3H7+H2O, 0.000000e+00
C3H7+H2O2<=>HO2+C3H8, 0.000000e+00
CH3+C3H8<=>C3H7+CH4, 0.000000e+00
CH3+C2H4(+M)<=>C3H7(+M), 0.000000e+00
O+C3H7<=>C2H5+CH2O, 0.000000e+00
H+C3H7(+M)<=>C3H8(+M), 0.000000e+00
H+C3H7<=>CH3+C2H5, 0.000000e+00
OH+C3H7<=>C2H5+CH2OH, 0.000000e+00
HO2+C3H7<=>O2+C3H8, 0.000000e+00
HO2+C3H7=>OH+C2H5+CH2O, 0.000000e+00
CH3+C3H7<=>2C2H5, 0.000000e+00
